id,employee,gender,age,since_first_date,cust_type,res_index,for_idx,sp_index,channel,res_code,active,income,cate,saving_account,guarantees,payroll,junior,mortgage,shortdeposit,mediumdeposit,longdeposit,pensions,taxes,securities,homeacc,directdebit,fund,eaccount,loans,credit_card
1378869,N,V,78,6,1,S,N,,KFA,28,1,218609.79,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378835,N,V,36,6,1,S,N,,KHL,28,1,70375.32,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378827,N,H,35,6,1,S,N,,KAT,46,1,45537.84,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378826,N,H,42,6,1,S,N,,KAT,21,1,74351.49,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378825,N,V,37,6,1,S,N,,KHK,28,1,112455.3,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378816,N,H,24,6,1,S,N,,KHL,33,1,72352.05,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378812,N,V,36,6,1,S,N,,KHK,20,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378810,N,V,29,6,1,S,N,,KHK,28,1,286363.92,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378804,N,H,48,5,1,S,N,,KHK,20,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378800,N,V,29,6,1,S,N,,KHL,50,1,48007.71,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378795,N,V,38,16,1,S,N,,RED,10,1,46573.29,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378789,N,V,39,6,1,S,N,,KHK,11,1,48342.15,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378784,N,V,80,6,1,S,N,,KHL,2,1,104883.6,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378782,N,H,51,6,1,S,N,,KHL,23,1,87195.06,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378780,N,H,40,6,1,S,N,,KAT,39,1,116029.8,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378778,N,H,29,6,1,S,N,,KHK,39,1,194068.8,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378773,N,V,34,16,1,S,N,,RED,28,1,105224.16,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378772,N,H,21,6,1,S,N,,KHK,28,1,91680.78,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378771,N,H,31,6,1,S,N,,KHK,48,0,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378765,N,V,50,6,1,S,N,,KAT,21,0,125021.82,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378758,N,V,36,6,1,S,N,,KHK,39,1,114248.16,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378756,N,H,31,6,1,S,N,,KHK,28,1,68361.45,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378748,N,V,42,6,1,S,N,,KHK,46,1,79850.34,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378746,N,V,31,6,1,S,N,,KHK,21,1,29886.06,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378729,N,H,32,6,1,S,N,,KHK,8,1,102570.03,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378727,N,V,37,6,1,S,N,,KHK,20,0,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378725,N,V,54,6,1,S,N,,KHK,41,1,136224.3,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378722,N,H,31,6,1,S,N,,KHL,28,1,79060.08,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378714,N,V,64,6,1,S,N,,KHK,46,1,125072.58,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378711,N,V,24,6,1,S,N,,KHL,41,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378695,N,V,63,6,1,S,N,,KFC,3,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378691,N,H,25,6,1,S,N,,KAT,29,1,66549.36,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378685,N,H,52,6,1,S,N,,KHK,28,1,96521.94,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378678,N,V,21,6,1,S,N,,KHK,28,1,185999.64,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378676,N,V,45,6,1,S,N,,KHL,6,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378673,N,H,34,6,1,S,N,,KHL,46,1,83279.67,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378672,N,V,40,6,1,S,N,,KHK,10,1,80059.89,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378660,N,V,20,6,1,S,N,,KHE,36,0,98375.97,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378652,N,H,67,6,1,S,N,,KFA,28,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378650,N,V,63,6,1,S,N,,KFA,28,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378638,N,V,32,6,1,S,S,,KHL,3,0,57450.87,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378636,N,V,91,6,1,S,N,,KHK,41,1,58841.37,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378627,N,V,38,16,1,S,N,,RED,3,1,104563.5,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378625,N,H,36,6,1,S,N,,KHL,28,1,99266.76,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378624,N,H,51,6,1,S,N,,KHK,28,1,82086.36,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378622,N,V,39,6,1,S,N,,KHK,28,0,55534.17,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378621,N,V,32,6,1,S,S,,KHK,38,1,120059.46,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378615,N,V,63,6,1,S,N,,KHK,28,1,176352.39,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378614,N,H,37,6,1,S,N,,KHL,1,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378607,N,H,47,6,1,S,N,,KHK,28,1,105945.81,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378604,N,H,53,6,1,S,N,,KHL,28,1,50806.68,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378600,N,H,61,6,1,S,N,,KHL,28,1,154152,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378596,N,V,41,6,1,S,N,,KHK,14,1,26053.47,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378595,N,H,46,6,1,S,N,,KHK,48,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378593,N,V,35,16,1,S,N,,RED,32,1,118574.22,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378586,N,V,45,6,1,S,N,,KHL,28,0,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378579,N,V,42,6,1,S,N,,KHK,19,1,71570.04,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378577,N,V,38,5,1,S,N,,KHK,28,0,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378575,N,H,59,6,1,S,N,,KHK,27,1,67575.87,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378574,N,H,27,16,1,S,N,,RED,28,0,62077.23,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378571,N,V,29,6,1,S,N,,KHL,2,1,60440.76,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378570,N,H,41,6,1,S,S,,KHL,46,1,127615.83,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378562,N,V,36,6,1,S,N,,KHK,38,1,46131.09,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378559,N,H,43,6,1,S,N,,KHL,46,1,47603.19,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378558,N,V,24,6,1,S,S,,KHK,4,1,47471.4,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378557,N,V,46,6,1,S,N,,KHL,41,0,63753.66,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378555,N,V,41,6,1,S,N,,KHK,8,1,65981.43,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378554,N,V,37,6,1,S,N,,KHL,28,1,150837.45,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378553,N,H,40,16,1,S,N,,RED,3,1,81747.42,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378551,N,V,37,6,1,S,N,,KHK,45,0,104800.08,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378549,N,H,38,6,1,S,S,,KHK,28,1,30858.93,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378547,N,V,54,6,1,S,N,,KHK,18,1,74269.35,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378546,N,V,31,6,1,S,N,,KHL,4,1,61207.29,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378544,N,V,43,6,1,S,N,,KHL,28,1,117868.71,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378543,N,H,37,6,1,S,N,,KHK,46,0,86904,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378542,N,H,87,6,1,S,N,,KHK,39,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378541,N,H,71,6,1,S,N,,KHK,41,1,101031.9,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378532,N,V,40,6,1,S,N,,KHK,32,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378530,N,V,34,6,1,S,N,,KHK,18,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378528,N,H,27,6,1,S,N,,KHK,28,0,60190.38,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378519,N,V,32,6,1,S,N,,KHK,12,1,668526.69,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378515,N,V,21,6,1,S,N,,KHK,28,1,,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378510,N,H,40,6,1,S,S,,KHK,8,1,65981.43,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378506,N,H,28,6,1,S,N,,KHK,29,1,94650.42,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378500,N,H,47,6,1,S,N,,KHK,21,1,18391.53,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378499,N,V,39,6,1,S,N,,KHK,36,0,65572.68,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378498,N,V,33,6,1,S,N,,KHK,41,1,83121.39,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378489,N,H,34,16,1,S,N,,RED,9,1,109413.87,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378488,N,V,37,6,1,S,N,,KHK,28,0,69668.07,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378487,N,V,34,6,1,S,N,,KHL,37,1,55608.39,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378482,N,V,20,6,1,S,N,,KHK,28,1,80956.44,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378477,N,V,28,6,1,S,N,,KHK,28,1,104950.32,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378474,N,V,23,6,1,S,N,,KHK,8,1,84250.59,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378472,N,V,28,6,1,S,N,,KHK,30,1,56123.7,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378456,N,H,36,6,1,S,N,,KHL,1,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378452,N,V,39,16,1,S,N,,RED,47,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378451,N,H,34,6,1,S,N,,KHL,37,0,55573.17,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378440,N,H,40,6,1,S,N,,KHL,46,1,56908.65,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378438,N,V,21,6,1,S,N,,KHK,39,1,274465.83,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378433,N,H,32,6,1,S,N,,KHK,8,0,154683.36,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378425,N,H,37,6,1,S,N,,KHK,28,1,82063.65,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378424,N,V,38,6,1,S,N,,KHK,28,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378423,N,V,27,6,1,S,N,,KHK,4,1,69451.05,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378417,N,H,40,6,1,S,N,,KHK,8,1,233105.1,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378416,N,H,41,6,1,S,N,,KHL,28,1,178352.13,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378413,N,V,45,6,1,S,N,,KFA,17,1,78465.33,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378408,N,V,31,6,1,S,N,,KFA,28,1,119144.73,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378407,N,V,65,6,1,S,N,,KFA,28,1,57272.94,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378390,N,V,49,16,1,S,N,,RED,2,1,100934.79,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378387,N,V,28,6,1,S,N,,KHK,46,1,359988.72,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378386,N,H,39,6,1,S,N,,KHK,24,1,86462.52,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378383,N,V,33,16,1,S,N,,RED,41,1,66127.17,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378382,N,V,36,6,1,S,N,,KHK,19,0,103704.63,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378380,N,H,47,6,1,S,N,,KHL,30,1,72264.66,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378379,N,V,45,6,1,S,N,,KHK,28,1,124710.93,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378378,N,V,51,16,1,S,S,,RED,28,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378375,N,H,28,6,1,S,N,,KHL,28,1,146588.46,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378367,N,V,32,6,1,S,N,,KHK,28,1,147577.29,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378366,N,H,47,6,1,S,N,,KHK,28,1,149703.63,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378359,N,V,41,13,1,S,N,,RED,46,1,35890.14,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378358,N,V,52,6,1,S,N,,KHK,24,1,58759.71,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378356,N,V,46,6,1,S,N,,KHK,41,1,247241.34,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378347,N,V,22,6,1,S,N,,KHL,47,0,44933.04,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378344,N,V,36,6,1,S,N,,KHK,43,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378343,N,V,67,16,1,S,N,,RED,33,1,90647.79,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378342,N,V,32,6,1,S,N,,KHL,29,1,125207.94,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378340,N,V,36,6,1,S,N,,KHK,41,1,40510.32,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378339,N,V,29,6,1,S,N,,KHL,48,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378337,N,V,45,6,1,S,N,,KHL,48,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378330,N,H,74,6,1,S,N,,KAT,48,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378326,N,H,32,6,1,S,N,,KHL,32,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378324,N,V,49,6,1,S,N,,KHL,28,1,108176.76,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378322,N,V,38,6,1,S,N,,KHL,33,1,75669.93,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378313,N,H,32,6,1,S,N,,KHL,46,1,45927.72,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378311,N,V,44,6,1,S,N,,KHL,39,1,77958.36,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378310,N,V,37,6,1,S,N,,KHL,23,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378306,N,V,30,6,1,S,N,,KAT,39,1,65295.87,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378302,N,V,51,13,1,S,N,,RED,46,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378298,N,H,44,6,1,S,N,,KHK,28,1,138641.01,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378296,N,V,49,6,1,S,N,,KHK,46,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378293,N,V,64,6,1,S,N,,KHK,8,0,105653.97,02 - PARTICULARES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1378285,N,V,20,6,1,S,N,,KHK,30,1,144159.54,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378282,N,V,32,6,1,S,N,,KHK,46,1,120318.75,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378280,N,H,29,6,1,S,N,,KHK,2,1,130779.54,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378274,N,H,20,6,1,S,N,,KHK,28,1,83086.26,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378270,N,V,35,6,1,S,N,,KHK,28,1,291102.54,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378265,N,V,35,6,1,S,N,,KHK,46,1,47092.44,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378263,N,V,39,6,1,S,N,,KHK,11,1,104475.81,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378259,N,V,26,6,1,S,N,,KHK,47,0,72609.45,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378257,N,H,46,6,1,S,N,,KHK,9,1,58082.13,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378256,N,H,32,6,1,S,N,,KHK,47,1,72609.45,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378245,N,V,49,6,1,S,N,,KHK,23,1,28771.62,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378241,N,H,37,6,1,S,N,,KHK,28,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378239,N,H,27,6,1,S,N,,KHK,28,1,157894.5,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
